code,common_name,scientific_name,order
BAEA,Bald Eagle,Haliaeetus leucocephalus,1
BLVU,Black Vulture,Coragyps atratus,2
BWHA,Broad-winged Hawk,Buteo platypterus,3
CBHA,Common Black Hawk,Buteogallus anthracinus,4
COHA,Cooper's Hawk,Accipiter cooperii,5
CRCA,Crested Caracara,Caracara cheriway,6
EUKE,Eurasian Kestrel,Falco tinnunculus,7
FEHA,Ferruginous Hawk,Buteo regalis,8
GOEA,Golden Eagle,Aquila chrysaetos,9
GRHA,Gray Hawk,Buteo plagiatus,10
GYRF,Gyrfalcon,Falco rusticolus,11
HRSH,Harris's Hawk,Parabuteo unicinctus,12
HBKI,Hook-billed Kite,Chondrohierax uncinatus,13
MERL,Merlin,Falco columbarius,14
MIKI,Mississippi Kite,Ictinia mississippiensis,15
NOGO,Northern Goshawk,Accipiter gentilis,16
NOHA,Northern Harrier,Circus cyaneus,17
OSPR,Osprey,Pandion haliaetus,18
PEFA,Peregrine Falcon,Falco peregrinus,19
PLKI,Plumbeous Kite,Ictinia plumbea,20
PRFA,Prairie Falcon,Falco mexicanus,21
RSHA,Red-shouldered Hawk,Buteo lineatus,22
RTHA,Red-tailed Hawk,Buteo jamaicensis,23
RLHA,Rough-legged Hawk,Buteo lagopus,24
SSHA,Sharp-shinned Hawk,Accipiter striatus,25
STHA,Short-tailed Hawk,Buteo brachyurus,26
SNKI,Snail Kite,Rostrhamus sociabilis,27
SWHA,Swainson's Hawk,Buteo swainsoni,28
STKI,Swallow-tailed Kite,Elanoides forficatus,29
TUVU,Turkey Vulture,Cathartes aura,30
UA,Unknown Accipiter,Accipiter sp.,31
UB,Unknown Buteo,Buteo sp.,32
UE,Unknown Eagle,eagle sp.,33
UF,Unknown Falcon,Falco sp.,34
UR,Unknown Raptor,Accipitriformes/Falconiformes sp.,35
UV,Unknown Vulture,Cathartidae sp.,36
WTEA,White-tailed Eagle,Haliaeetus albicilla,37
WTHA,White-tailed Hawk,Geranoaetus albicaudatus,38
WTKI,White-tailed Kite,Elanus leucurus,39
ZTHA,Zone-tailed Hawk,Buteo albonotatus,40
SA,Small Accipiter,Accipiter sp.,41
LA,Large Accipiter,Accipiter sp.,42
SF,Small Falcon,Falco sp. (small falcon sp.),43
LF,Large Falcon,Falco sp. (large falcon sp.),44
UK,Unknown Kite,,45
WEGR,Western Grebe,Aechmophorus occidentalis,46
CLGR,Clark's Grebe,Aechmophorus clarkii,47
WCGR,Western/Clark's Grebe,Podicipedidae sp.,48
RNGR,Red-necked Grebe,Podiceps grisegena,49
HOGR,Horned Grebe,Podiceps auritus,50
EAGR,Eared Grebe,Podiceps nigricollis,51
LEGR,Least Grebe,Tachybaptus dominicus,52
PBGR,Pied-billed Grebe,Podilymbus podiceps,53
COLO,Common Loon,Gavia immer,54
YBLO,Yellow-billed Loon,Gavia adamsii,55
ARLO,Arctic Loon,Gavia arctica,56
PALO,Pacific Loon,Gavia pacifica,57
RTLO,Red-throated Loon,Gavia stellata,58
TUPU,Tufted Puffin,Fratercula cirrhata,59
ATPU,Atlantic Puffin,Fratercula arctica,60
HOPU,Horned Puffin,Fratercula corniculata,61
RHAU,Rhinoceros Auklet,Cerorhinca monocerata,62
CAAU,Cassin's Auklet,Ptychoramphus aleuticus,63
PAAU,Parakeet Auklet,Aethia psittacula,64
CRAU,Crested Auklet,Aethia cristatella,65
WHAU,Whiskered Auklet,Aethia pygmaea,66
LEAU,Least Auklet,Aethia pusilla,67
ANMU,Ancient Murrelet,Synthliboramphus antiquus,68
MAMU,Marbled Murrelet,Brachyramphus marmoratus,69
LBMU,Long-billed Murrelet,Brachyramphus perdix,70
AMMU,Alaska Marbled Murrelet,Brachyramphus marmoratus,71
KIMU,Kittlitz's Murrelet,Brachyramphus brevirostris,72
XAMU,Xantus's Murrelet,Synthliboramphus scrippsi/hypoleucus,73
SCMU,Scripps's Murrelet,Synthliboramphus scrippsi,74
GUMU,Guadalupe Murrelet,Synthliboramphus hypoleucus,75
CRMU,Craveri's Murrelet,Synthliboramphus craveri,76
BLGU,Black Guillemot,Cepphus grylle,77
PIGU,Pigeon Guillemot,Cepphus columba,78
COMU,Common Murre,Uria aalge,79
TBMU,Thick-billed Murre,Uria lomvia,80
RAZO,Razorbill,Alca torda,81
DOVE,Dovekie,Alle alle,82
GRSK,Great Skua,Stercorarius skua,83
SPSK,South Polar Skua,Stercorarius maccormicki,84
POJA,Pomarine Jaeger,Stercorarius pomarinus,85
PAJA,Parasitic Jaeger,Stercorarius parasiticus,86
LTJA,Long-tailed Jaeger,Stercorarius longicaudus,87
IVGU,Ivory Gull,Pagophila eburnea,88
MAGU,Magellan Gull,Leucophaeus scoresbii,89
BLKI,Black-legged Kittiwake,Rissa tridactyla,90
RLKI,Red-legged Kittiwake,Rissa brevirostris,91
GLGU,Glaucous Gull,Larus hyperboreus,92
ICGU,Iceland Gull,Larus glaucoides,93
THGU,Thayer's Gull,Larus thayeri,94
GWGU,Glaucous-winged Gull,Larus glaucescens,95
HYGU,Hybrid Gull,Larinae sp.,96
GBBG,Great Black-backed Gull,Larus marinus,97
SBGU,Slaty-backed Gull,Larus schistisagus,98
WEGU,Western Gull,Larus occidentalis,99
YFGU,Yellow-footed Gull,Larus livens,100
LBBG,Lesser Black-backed Gull,Larus fuscus,101
HERG,Herring Gull,Larus argentatus,102
CAGU,California Gull,Larus californicus,103
UNGU,Unidentified Gull,Larinae sp.,104
RBGU,Ring-billed Gull,Larus delawarensis,105
BTGU,Band-tailed Gull,Larus belcheri,106
MEGU,Mew Gull,Larus canus,107
BHGU,Black-headed Gull,Chroicocephalus ridibundus,108
HEEG,Heermann's Gull,Larus heermanni,109
LAGU,Laughing Gull,Leucophaeus atricilla,110
FRGU,Franklin's Gull,Leucophaeus pipixcan,111
BOGU,Bonaparte's Gull,Chroicocephalus philadelphia,112
LIGU,Little Gull,Hydrocoloeus minutus,113
ROGU,Ross's Gull,Rhodostethia rosea,114
SAGU,Sabine's Gull,Xema sabini,115
GBTE,Gull-billed Tern,Gelochelidon nilotica,116
CATE,Caspian Tern,Hydroprogne caspia,117
ROYT,Royal Tern,Thalasseus maximus,118
CRTE,Crested Tern,Thalasseus bergii,119
ELTE,Elegant Tern,Thalasseus elegans,120
SATE,Sandwich Tern,Thalasseus sandvicensis,121
CAYT,Cayenne Tern,Thalasseus sandvicensis eurygnatha,122
FOTE,Forster's Tern,Sterna forsteri,123
COTE,Common Tern,Sterna hirundo,124
HYTE,Hybrid Tern,,125
ARTE,Arctic Tern,Sterna paradisaea,126
ROST,Roseate Tern,Sterna dougallii,127
HCRT,Common Tern X Roseate Tern Hybrid,,128
ALTE,Aleutian Tern,Onychoprion aleuticus,129
BNTE,Black-naped Tern,Sterna sumatrana,130
LETE,Least Tern,Sternula antillarum,131
LITE,Little Tern,Sternula albifrons,132
ILTE,Interior Least Tern,Sternula antillarum athalassos,133
CLTE,California Least Tern,Sternula antillarum browni,134
SOTE,Sooty Tern,Onychoprion fuscatus,135
BRTE,Bridled Tern,Onychoprion anaethetus,136
GRAT,Gray-backed Tern,Onychoprion lunatus,137
BLTE,Black Tern,Chlidonias niger,138
WWTE,White-winged Tern,Chlidonias leucopterus,139
WHIT,Whiskered Tern,Chlidonias hybrida,140
BRNO,Brown Noddy,Anous stolidus,141
BLNO,Black Noddy,Anous minutus,142
BGNO,Blue-gray Noddy,Procelsterna cerulea,143
WHTE,White Tern,Gygis alba,144
BLSK,Black Skimmer,Rynchops niger,145
BFAL,Black-footed Albatross,Phoebastria nigripes,146
WAAL,Wandering Albatross,Diomedea exulans,147
HYAL,Hybrid Albatross,,148
STAL,Short-tailed Albatross,Phoebastria albatrus,149
LAAL,Laysan Albatross,Phoebastria immutabilis,150
BBAL,Black-browed Albatross,Thalassarche melanophris,151
SHAL,Shy Albatross,Thalassarche cauta,152
WAVA,Waved Albatross,Phoebastria irrorata,153
YNAL,Yellow-nosed Albatross,Thalassarche chlororhynchos,154
NOFU,Northern Fulmar,Fulmarus glacialis,155
COSH,Cory's Shearwater,Calonectris diomedea,156
STRS,Streaked Shearwater,Calonectris leucomelas,157
GRSH,Great Shearwater,Puffinus gravis,158
MASH,Manx Shearwater,Puffinus puffinus,159
PFSH,Pink-footed Shearwater,Puffinus creatopus,160
AUSH,Audubon's Shearwater,Puffinus lherminieri,161
LISH,Little Shearwater,Puffinus assimilis,162
TRSH,Tropical Shearwater,Puffinus bailloni,163
BVSH,Black-vented Shearwater,Puffinus opisthomelas,164
TOSH,Townsend's Shearwater,Puffinus auricularis,165
NESH,Newell's Shearwater,Puffinus newelli,166
SOSH,Sooty Shearwater,Puffinus griseus,167
FFSH,Flesh-footed Shearwater,Puffinus carneipes,168
SHOS,Short-tailed Shearwater,Puffinus tenuirostris,169
WTSH,Wedge-tailed Shearwater,Puffinus pacificus,170
BULS,Buller's Shearwater,Puffinus bulleri,171
CHSH,Christmas Shearwater,Puffinus nativitatis,172
BCPE,Black-capped Petrel,Pterodroma hasitata,173
COPE,Cook's Petrel,Pterodroma cookii,174
HAPE,Hawaiian Petrel,Pterodroma sandwichensis,175
JFPE,Juan Fernandez Petrel,Pterodroma externa,176
PHPE,Phoenix Petrel,Pterodroma alba,177
MOPE,Mottled Petrel,Pterodroma inexpectata,178
BOPE,Bonin Petrel,Pterodroma hypoleuca,179
BWPE,Black-winged Petrel,Pterodroma nigripennis,180
MUPE,Murphy's Petrel,Pterodroma ultima,181
STPE,Stejneger's Petrel,Pterodroma longirostris,182
TAPE,Tahiti Petrel,Pterodroma rostrata,183
BUPE,Bulwer's Petrel,Bulweria bulwerii,184
CAPE,Cape Petrel,Daption capense,185
LTSP,Least Storm-Petrel,Oceanodroma microsoma,186
FTSP,Fork-tailed Storm-Petrel,Oceanodroma furcata,187
LHSP,Leach's Storm-Petrel,Oceanodroma leucorhoa,188
BANP,Band-rumped Storm-Petrel,Oceanodroma castro,189
WRSP,Wedge-rumped Storm-Petrel,Oceanodroma tethys,190
BLSP,Black Storm-Petrel,Oceanodroma melania,191
TRSP,Tristram's Storm-Petrel,Oceanodroma tristrami,192
ASSP,Ashy Storm-Petrel,Oceanodroma homochroa,193
WISP,Wilson's Storm-Petrel,Oceanites oceanicus,194
WHSP,White-throated Storm-Petrel,Nesofregetta fuliginosa,195
WFSP,White-faced Storm-Petrel,Pelagodroma marina,196
WTTR,White-tailed Tropicbird,Phaethon lepturus,197
RBTR,Red-billed Tropicbird,Phaethon aethereus,198
RTTR,Red-tailed Tropicbird,Phaethon rubricauda,199
MABO,Masked Booby,Sula dactylatra,200
BFBO,Blue-footed Booby,Sula nebouxii,201
NABO,Nazca Booby,Sula granti,202
BRBO,Brown Booby,Sula leucogaster,203
RFBO,Red-footed Booby,Sula sula,204
NOGA,Northern Gannet,Morus bassanus,205
ANHI,Anhinga,Anhinga anhinga,206
GRCO,Great Cormorant,Phalacrocorax carbo,207
DCCO,Double-crested Cormorant,Phalacrocorax auritus,208
GUCO,Guanay Cormorant,Leucocarbo bougainvillii,209
NECO,Neotropic Cormorant,Phalacrocorax brasilianus,210
BRAC,Brandt's Cormorant,Phalacrocorax penicillatus,211
PECO,Pelagic Cormorant,Phalacrocorax pelagicus,212
RFCO,Red-faced Cormorant,Phalacrocorax urile,213
AWPE,American White Pelican,Pelecanus erythrorhynchos,214
BRPE,Brown Pelican,Pelecanus occidentalis,215
MAFR,Magnificent Frigatebird,Fregata magnificens,216
GRFR,Great Frigatebird,Fregata minor,217
LEFR,Lesser Frigatebird,Fregata ariel,218
COME,Common Merganser,Mergus merganser,219
RBME,Red-breasted Merganser,Mergus serrator,220
HOME,Hooded Merganser,Lophodytes cucullatus,221
MALL,Mallard,Anas platyrhynchos,222
HAWD,Hawaiian Duck,Anas wyvilliana,223
LADU,Laysan Duck,Anas laysanensis,224
MHDH,Mallard X Hawaiian Duck Hybrid,,225
MBDX,Mallard X American Black Duck Intermediate,,226
MBDH,Mallard X American Black Duck Hybrid,,227
MALX,Mallard Dominant X American Black Duck Hybrid,,228
ABDU,American Black Duck,Anas rubripes,229
MEDU,Mexican Duck,Anas diazi,230
ABDX,American Black Duck Dominant X Mallard Hybrid,,231
MODU,Mottled Duck,Anas fulvigula,232
GADW,Gadwall,Anas strepera,233
EUWI,Eurasian Wigeon,Anas penelope,234
AMWI,American Wigeon,Anas americana,235
FATE,Falcated Teal,Anas falcata,236
GWTE,Green-winged Teal species,Anas crecca sp.,237
EGWT,European Green-winged Teal,Anas crecca crecca,238
AGWT,Green-winged Teal,Anas crecca,239
BATE,Baikal Teal,Anas formosa,240
GARG,Garganey,Anas querquedula,241
BWTE,Blue-winged Teal,Anas discors,242
UNTE,Unidentified Teal,Anas sp. (teal sp.),243
CITE,Cinnamon Teal,Anas cyanoptera,244
NSHO,Northern Shoveler,Anas clypeata,245
NOPI,Northern Pintail,Anas acuta,246
WHIP,White-cheeked Pintail,Anas bahamensis,247
OHDU,Other Hybrid Duck,,248
WODU,Wood Duck,Aix sponsa,249
MUDU,Muscovy Duck,Cairina moschata,250
REDH,Redhead,Aythya americana,251
CPOC,Common Pochard,Aythya ferina,252
CANV,Canvasback,Aythya valisineria,253
GRSC,Greater Scaup,Aythya marila,254
LESC,Lesser Scaup,Aythya affinis,255
TUDU,Tufted Duck,Aythya fuligula,256
RNDU,Ring-necked Duck,Aythya collaris,257
COGO,Common Goldeneye,Bucephala clangula,258
BAGO,Barrow's Goldeneye,Bucephala islandica,259
BUFF,Bufflehead,Bucephala albeola,260
LTDU,Long-tailed Duck,Clangula hyemalis,261
HARD,Harlequin Duck,Histrionicus histrionicus,262
STEI,Steller's Eider,Polysticta stelleri,263
SPEI,Spectacled Eider,Somateria fischeri,264
COEI,Common Eider,Somateria mollissima,265
KIEI,King Eider,Somateria spectabilis,266
BLSC,Black Scoter,Melanitta americana,267
WWSC,White-winged Scoter,Melanitta fusca,268
SUSC,Surf Scoter,Melanitta perspicillata,269
RUDU,Ruddy Duck,Oxyura jamaicensis,270
MADU,Masked Duck,Nomonyx dominicus,271
LSGO,Lesser Snow Goose,Chen caerulescens caerulescens,272
BLGO,Blue Goose,Chen caerulescens,273
SBGI,Snow X Blue Goose Intergrade,,274
BGSG,Blue Greater Snow Goose,,275
GSGO,Greater Snow Goose,Chen caerulescens atlantica,276
ROGO,Ross's Goose,Chen rossii,277
SRGH,Snow X Ross's Goose Hybrid,Chen caerulescens x rossii,278
GWFG,Greater White-fronted Goose,Anser albifrons,279
TABG,Taiga Bean-Goose,Anser fabalis,280
PFGO,Pink-footed Goose,Anser brachyrhynchus,281
LWFG,Lesser White-fronted Goose,Anser erythropus,282
OHGO,Other Hybrid Goose,,283
TWFG,Tule White-fronted Goose,Anser albifrons elgasi,284
CAGO,Canada Goose,Branta canadensis,285
ACGO,Aleutian Canada Goose,Branta hutchinsii leucopareia,286
CACG,Cackling Goose,Branta hutchinsii,287
LCGO,Large Canada Goose,Branta canadensis maxima,288
SCGO,Small Canada Goose,Branta canadensis parvipes,289
ATBR,Atlantic Brant,Branta bernicla hrota,290
BABI,Black X Atlantic Brant Intergrade,Branta bernicla hrota x nigricans,291
BLBR,Black Brant,Branta bernicla nigricans,292
BRNG,Barnacle Goose,Branta leucopsis,293
HAGO,Hawaiian Goose,Branta sandvicensis,294
EMGO,Emperor Goose,Chen canagica,295
BBWD,Black-bellied Whistling-Duck,Dendrocygna autumnalis,296
WIWD,West Indian Whistling-Duck,Dendrocygna arborea,297
FUWD,Fulvous Whistling-Duck,Dendrocygna bicolor,298
MUSW,Mute Swan,Cygnus olor,299
WHOS,Whooper Swan,Cygnus cygnus,300
WHSW,Whistling Swan,Cygnus columbianus columbianus,301
BESW,Bewick's Swan,Cygnus columbianus bewickii,302
TRUS,Trumpeter Swan,Cygnus buccinator,303
AMFL,American Flamingo,Phoenicopterus ruber,304
ROSP,Roseate Spoonbill,Platalea ajaja,305
WHIB,White Ibis,Eudocimus albus,306
SCIB,Scarlet Ibis,Eudocimus ruber,307
GLIB,Glossy Ibis,Plegadis falcinellus,308
WFIB,White-faced Ibis,Plegadis chihi,309
WOST,Wood Stork,Mycteria americana,310
AMBI,American Bittern,Botaurus lentiginosus,311
LEBI,Least Bittern,Ixobrychus exilis,312
YEBI,Yellow Bittern,Ixobrychus sinensis,313
GWHE,Great White Heron,Ardea herodias occidentalis,314
GBHE,Great Blue Heron,Ardea herodias,315
GREG,Great Egret,Ardea alba,316
PRHE,Pacific Reef Heron,Egretta sacra,317
SNEG,Snowy Egret,Egretta thula,318
REEG,Reddish Egret,Egretta rufescens,319
TRHE,Tricolored Heron,Egretta tricolor,320
LBHE,Little Blue Heron,Egretta caerulea,321
CAEG,Cattle Egret,Bubulcus ibis,322
GRHE,Green Heron,Butorides virescens,323
BCNH,Black-crowned Night-Heron,Nycticorax nycticorax,324
YCNH,Yellow-crowned Night-Heron,Nyctanassa violacea,325
WHCR,Whooping Crane,Grus americana,326
SACR,Sandhill Crane,Grus canadensis,327
MSCR,Mississippi Sandhill Crane,Grus canadensis pulla,328
LIMP,Limpkin,Aramus guarauna,329
KIRA,King Rail,Rallus elegans,330
CLRA,Clapper Rail,Rallus longirostris,331
RIRA,Ridgway's Rail,Rallus obsoletus,332
VIRA,Virginia Rail,Rallus limicola,333
YBCR,Yellow-breasted Crake,Porzana flaviventer,334
SORA,Sora,Porzana carolina,335
YERA,Yellow Rail,Coturnicops noveboracensis,336
BLRA,Black Rail,Laterallus jamaicensis,337
BBRA,Buff-banded Rail,Gallirallus philippensis,338
PUGA,Purple Gallinule,Porphyrio martinicus,339
PUSW,Purple Swamphen,Porphyrio porphyrio,340
COGA,Common Gallinule,Gallinula galeata,341
HAGA,Hawaiian Gallinule,Gallinula galeata sandvicensis,342
MCMO,Mariana Common Moorhen,Gallinula chloropus guami,343
HACO,Hawaiian Coot,Fulica alai,344
AMCO,American Coot,Fulica americana,345
CARC,Caribbean Coot,Fulica caribaea,346
REPH,Red Phalarope,Phalaropus fulicarius,347
RNPH,Red-necked Phalarope,Phalaropus lobatus,348
WIPH,Wilson's Phalarope,Phalaropus tricolor,349
AMAV,American Avocet,Recurvirostra americana,350
BNST,Black-necked Stilt,Himantopus mexicanus,351
HAST,Hawaiian Stilt,Himantopus mexicanus knudseni,352
EUWO,Eurasian Woodcock,Scolopax rusticola,353
AMWO,American Woodcock,Scolopax minor,354
WISN,Wilson's Snipe,Gallinago delicata,355
PTSN,Pin-tailed Snipe,Gallinago stenura,356
SWSN,Swinhoe's Snipe,Gallinago megala,357
SBDO,Short-billed Dowitcher,Limnodromus griseus,358
LBDO,Long-billed Dowitcher,Limnodromus scolopaceus,359
STSA,Stilt Sandpiper,Calidris himantopus,360
REKN,Red Knot,Calidris canutus,361
RRKN,Rufa Red Knot,Calidris canutus rufa,362
PUSA,Purple Sandpiper,Calidris maritima,363
ROSA,Rock Sandpiper,Calidris ptilocnemis,364
SHAS,Sharp-tailed Sandpiper,Calidris acuminata,365
PESA,Pectoral Sandpiper,Calidris melanotos,366
WRSA,White-rumped Sandpiper,Calidris fuscicollis,367
BASA,Baird's Sandpiper,Calidris bairdii,368
LESA,Least Sandpiper,Calidris minutilla,369
RNST,Red-necked Stint,Calidris ruficollis,370
LTST,Long-toed Stint,Calidris subminuta,371
DUNL,Dunlin,Calidris alpina,372
CUSA,Curlew Sandpiper,Calidris ferruginea,373
SPOS,Spoon-billed Sandpiper,Calidris pygmea,374
SESA,Semipalmated Sandpiper,Calidris pusilla,375
WESA,Western Sandpiper,Calidris mauri,376
SAND,Sanderling,Calidris alba,377
MAGO,Marbled Godwit,Limosa fedoa,378
BARG,Bar-tailed Godwit,Limosa lapponica,379
HUGO,Hudsonian Godwit,Limosa haemastica,380
BLAG,Black-tailed Godwit,Limosa limosa,381
GRYE,Greater Yellowlegs,Tringa melanoleuca,382
LEYE,Lesser Yellowlegs,Tringa flavipes,383
SOSA,Solitary Sandpiper,Tringa solitaria,384
WOSA,Wood Sandpiper,Tringa glareola,385
MASA,Marsh Sandpiper,Tringa stagnatilis,386
WILL,Willet,Tringa semipalmata,387
WATA,Wandering Tattler,Tringa incana,388
GTTA,Gray-tailed Tattler,Tringa brevipes,389
RUFF,Ruff,Calidris pugnax,390
UPSA,Upland Sandpiper,Bartramia longicauda,391
BBSA,Buff-breasted Sandpiper,Calidris subruficollis,392
SPSA,Spotted Sandpiper,Actitis macularius,393
COSA,Common Sandpiper,Actitis hypoleucos,394
LBCU,Long-billed Curlew,Numenius americanus,395
WHIM,Whimbrel,Numenius phaeopus,396
BTCU,Bristle-thighed Curlew,Numenius tahitiensis,397
NOLA,Northern Lapwing,Vanellus vanellus,398
EUDO,Eurasian Dotterel,Charadrius morinellus,399
BBPL,Black-bellied Plover,Pluvialis squatarola,400
EUGP,European Golden-Plover,Pluvialis apricaria,401
AMGP,American Golden-Plover,Pluvialis dominica,402
PAGP,Pacific Golden-Plover,Pluvialis fulva,403
LEGP,Lesser Golden-Plover,Pluvialis dominica/fulva,404
KILL,Killdeer,Charadrius vociferus,405
SEPL,Semipalmated Plover,Charadrius semipalmatus,406
CRPL,Common Ringed Plover,Charadrius hiaticula,407
PIPL,Piping Plover,Charadrius melodus,408
SNPL,Snowy Plover,Charadrius nivosus,409
WSPL,Western Snowy Plover,Charadrius nivosus nivosus,410
LRSP,Lesser Sand-Plover,Charadrius mongolus,411
WIPL,Wilson's Plover,Charadrius wilsonia,412
MOPL,Mountain Plover,Charadrius montanus,413
SURF,Surfbird,Calidris virgata,414
RUTU,Ruddy Turnstone,Arenaria interpres,415
BLTU,Black Turnstone,Arenaria melanocephala,416
AMOY,American Oystercatcher,Haematopus palliatus,417
BLOY,Black Oystercatcher,Haematopus bachmani,418
NOJA,Northern Jacana,Jacana spinosa,419
BTPI,Band-tailed Pigeon,Patagioenas fasciata,420
PLPI,Plain Pigeon,Patagioenas inornata,421
PRPP,Puerto Rican Plain Pigeon,Patagioenas inornata wetmorei,422
RBPI,Red-billed Pigeon,Patagioenas flavirostris,423
WCPI,White-crowned Pigeon,Patagioenas leucocephala,424
SNPI,Scaly-naped Pigeon,Patagioenas squamosa,425
SPDO,Spotted Dove,Streptopelia chinensis,426
